test_subject,test_acc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_specificity
71,0.8571428571428571,0.9387755102040816,0.9571428571428571,1.0,0.7142857142857143,0.8333333333333333,1.0
72,0.8571428571428571,0.9183673469387754,0.9367346938775509,1.0,0.7142857142857143,0.8333333333333333,1.0
74,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
75,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
76,0.9285714285714286,0.8571428571428571,0.9285714285714284,1.0,0.8571428571428571,0.923076923076923,1.0
77,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
78,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
79,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
81,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
83,0.9285714285714286,0.8571428571428571,0.9285714285714284,1.0,0.8571428571428571,0.923076923076923,1.0
